,city name,country,city id,latitude_deg,longitude_deg,temp_max_F,humidity_%,cloudiness_%,winds speed_mph
214,Senno,RU,497024,59.53,33.92,44.87,85,100,12.33
215,Kudahuvadhoo,MV,1337607,2.67,72.89,82.53,71,27,2.64
216,Acarau,BR,3408368,-2.89,-40.12,89.6,59,0,19.46
217,Bubaque,GW,2374583,11.28,-15.83,83.98,72,54,9.98
218,Springbok,ZA,3361142,-29.66,17.89,56.64,83,25,5.01
219,Samdari,IN,1257528,25.82,72.58,74.07,34,0,6.46
220,Rio Grande,BR,3451138,-32.03,-52.1,69.8,49,75,18.34
221,Sur,OM,286245,22.57,59.53,71.53,50,0,6.49
222,San Quintin,MX,3984997,30.48,-115.95,75.6,51,84,11.05
223,Ostrzeszow,PL,3089670,51.43,17.93,48.99,69,84,7.02
224,Nome,US,5870133,64.5,-165.41,15.8,72,90,3.36
225,Mount Isa,AU,2065594,-20.73,139.5,75.2,44,0,8.61
226,Limon,CR,3622247,10.0,-83.03,86.0,70,75,5.82
227,Cananeia,BR,3467609,-25.01,-47.93,66.16,83,100,9.04
228,Zhanakorgan,KZ,1517323,43.91,67.25,41.67,60,0,7.58
229,Brae,GB,2654970,60.4,-1.35,50.0,93,75,35.57
230,Jalingo,NG,2336589,8.88,11.37,86.83,37,98,1.52
231,Ulaangom,MN,1515029,49.98,92.07,20.77,79,64,3.67
232,Herrin,US,4240540,37.8,-89.03,75.2,37,20,9.17
233,Rawson,AR,3839307,-43.3,-65.1,78.6,27,19,18.3
234,Taganak,PH,1684606,6.08,118.3,73.4,94,40,11.41
235,Deori,IN,1273201,21.45,82.62,66.94,55,0,2.57
236,Lomovka,RU,534313,53.92,58.37,33.8,74,40,6.71
237,Vanimo,PG,2084442,-2.67,141.3,78.22,83,100,4.59
238,Santiago Del Estero,AR,3835869,-27.8,-64.26,92.88,20,0,15.59
239,Tsabong,BW,932987,-26.02,22.4,70.74,54,100,19.6
240,Teeli,RU,1489828,51.03,90.23,20.8,81,100,2.75
241,Haines Junction,CA,5969025,60.75,-137.51,-13.0,69,100,1.12
242,Kaitangata,NZ,2208248,-46.28,169.85,57.97,83,97,3.74
243,Mnogovershinnyy,RU,2019935,53.94,139.92,16.93,92,84,16.69
244,Surin,TH,1606030,14.88,103.49,72.0,99,100,7.18
245,Mobaye,CF,237478,4.32,21.18,72.95,90,99,1.7
246,Solnechnyy,RU,2016307,50.72,136.63,18.14,84,4,1.3
247,Hengshan,CN,2036920,45.2,130.92,24.78,77,13,5.64
248,Sarankhola,BD,1185239,22.31,89.79,69.03,61,0,3.83
249,Riyadh,SA,108410,24.69,46.72,71.6,33,0,2.24
250,Baruun-Urt,MN,2032614,46.68,113.28,20.55,87,64,2.15
251,Bambanglipuro,ID,1650434,-7.95,110.28,77.83,86,68,3.47
252,Tiksi,RU,2015306,71.69,128.87,0.82,94,100,4.74
253,Cidreira,BR,3466165,-30.18,-50.21,63.86,55,9,10.89
254,Vila Velha,BR,3445026,-20.33,-40.29,75.99,78,90,6.93
255,Alice Springs,AU,2077895,-23.7,133.88,71.6,46,0,8.05
256,Luderitz,NA,3355672,-26.65,15.16,63.88,81,96,12.3
257,Comodoro Rivadavia,AR,3860443,-45.87,-67.5,73.4,18,40,20.8
258,Huarmey,PE,3939168,-10.07,-78.15,69.6,64,3,12.01
259,Okhotsk,RU,2122605,59.38,143.3,16.27,90,98,22.06
260,Tateyama,JP,1850523,34.98,139.87,55.4,54,20,14.99
261,Coffs Harbour,AU,2171085,-30.3,153.13,66.2,72,99,9.17
262,Rosario,AR,3838583,-32.95,-60.64,82.0,29,0,16.11
263,Surt,LY,2210554,31.21,16.59,70.02,63,19,7.38
264,Lazarev,RU,2123836,52.23,141.51,25.36,85,48,22.97
265,Namatanai,PG,2090021,-3.67,152.43,80.94,79,100,8.5
266,Palu,ID,1633034,-0.89,119.87,75.24,79,0,3.11
267,Tshikapa,CD,204953,-6.42,20.8,73.85,91,100,5.21
268,Renala Khurd,PK,1166933,30.88,73.6,63.1,26,0,1.81
269,Bambous Virieux,MU,1106677,-20.34,57.76,72.0,83,75,6.93
270,Atherton,GB,2656847,53.52,-2.49,44.01,73,1,2.77
271,Ponta Do Sol,PT,2264557,32.67,-17.1,62.6,77,75,8.05
272,Yatou,CN,1786855,37.15,122.38,50.76,73,93,8.66
273,Eureka,US,5563397,40.8,-124.16,69.01,83,0,1.99
274,Lavrentiya,RU,4031637,65.58,-171.0,24.84,98,100,11.45
275,Peniche,PT,2264923,39.36,-9.38,55.0,66,100,5.99
276,Coihaique,CL,3894426,-45.58,-72.07,53.6,62,75,11.41
277,Lorengau,PG,2092164,-2.02,147.27,80.82,78,98,3.74
278,New Norfolk,AU,2155415,-42.78,147.06,45.0,66,0,2.91
279,Doha,QA,290030,25.29,51.53,78.8,65,0,1.12
280,Ihosy,MG,1064275,-22.4,46.12,67.77,77,15,6.82
281,Ginda,IN,1253628,30.69,78.49,47.66,50,0,5.5
282,Necochea,AR,3430443,-38.55,-58.74,75.99,46,98,27.0
283,Masvingo,ZW,886763,-20.06,30.83,68.54,78,80,4.23
284,Prachuap Khiri Khan,TH,1151073,12.22,99.75,70.07,93,69,2.98
285,Oriximina,BR,3393471,-1.77,-55.87,92.7,48,47,4.05
286,San Vicente,AR,3428068,-26.62,-54.13,77.16,25,0,7.25
287,Tura,IN,1254046,25.52,90.22,63.32,55,0,0.67
288,Beringovskiy,RU,2126710,63.05,179.32,36.36,93,100,17.43
289,Ahuimanu,US,5856516,21.44,-157.84,82.4,78,90,6.93
290,Atbasar,KZ,1526038,51.8,68.33,31.62,94,0,11.12
291,Gat,IL,293842,31.61,34.76,66.99,100,64,1.01
292,Atar,MR,2381334,20.52,-13.05,86.61,14,0,4.54
293,Bataipora,BR,3470338,-22.3,-53.27,85.87,31,2,5.93
294,Hurghada,EG,361291,27.26,33.81,75.2,38,0,9.17
295,Swan Hill,AU,2147756,-35.34,143.55,48.74,73,2,14.79
296,Tarko-Sale,RU,1490085,64.92,77.78,18.45,97,99,9.75
297,Buala,SB,2109528,-8.14,159.59,82.24,77,100,6.76
298,Shache,CN,1280037,38.42,77.24,39.49,55,0,5.97
299,Camacha,PT,2270385,33.08,-16.33,60.8,82,40,13.87
300,Jumla,NP,1283285,29.27,82.18,38.86,66,0,4.81
301,Moree,AU,2156927,-29.47,149.85,62.6,63,37,10.65
302,Ribeira Grande,PT,3372707,38.52,-28.7,60.8,63,75,9.17
303,Lalmohan,BD,1185251,22.34,90.74,76.71,84,0,7.76
304,Labuhan,ID,8079926,-6.88,112.21,79.38,84,95,7.49
305,Coquimbo,CL,3893629,-29.95,-71.34,59.0,77,90,12.75
306,Voyvozh,RU,471308,62.89,54.96,38.01,95,100,9.37
307,Purpe,RU,1539210,64.48,76.69,21.4,98,97,7.9
308,Zeya,RU,2012593,53.75,127.27,16.3,90,88,4.34
309,Boende,CD,218680,-0.22,20.87,74.08,92,61,2.24
310,Mahebourg,MU,934322,-20.41,57.7,69.8,83,75,6.93
311,Kidal,ML,2455290,18.44,1.41,80.96,20,45,7.16
312,Larsnes,NO,3148133,62.2,5.58,45.0,81,75,27.51
313,Saint-Augustin,CA,6137462,51.23,-58.65,28.58,74,100,17.36
314,Raga,SS,368246,8.46,25.68,77.07,48,0,3.38
315,Sai Buri,TH,1606851,6.7,101.62,75.96,91,100,3.65
316,Saint Anthony,US,5044290,45.02,-93.22,71.6,28,1,11.41
317,Challans,FR,3027513,46.84,-1.87,45.0,84,0,4.0
318,Sioux Lookout,CA,6148373,50.1,-91.92,55.4,50,20,4.7
319,Tukrah,LY,88834,32.53,20.58,68.9,63,89,8.63
320,Yar-Sale,RU,1486321,66.83,70.83,20.62,98,100,9.48
321,Kununurra,AU,2068110,-15.77,128.73,77.0,78,0,1.12
322,Sisimiut,GL,3419842,66.94,-53.67,26.98,96,100,23.96
323,Faanui,PF,4034551,-16.48,-151.75,79.41,78,92,15.26
324,Kanigiri,IN,1268059,15.4,79.52,75.52,63,0,5.84
325,Owo,NG,2325314,7.2,5.59,78.48,67,100,4.7
326,Bay Roberts,CA,5895424,47.6,-53.26,28.99,58,75,18.34
327,Sayyan,YE,70979,15.17,44.32,49.55,43,0,2.39
328,Norden,DE,2862118,53.6,7.2,46.4,87,40,8.05
329,Tuatapere,NZ,2180815,-46.13,167.68,60.01,89,86,10.0
330,Eirunepe,BR,3664321,-6.66,-69.87,93.47,47,91,2.89
331,Maningrida,AU,2067089,-12.07,134.27,79.27,76,100,1.34
332,Tuktoyaktuk,CA,6170031,69.45,-133.04,10.4,85,90,11.41
333,Harper,LR,2276492,4.38,-7.72,78.91,88,76,5.79
334,Haverfordwest,GB,2647311,51.8,-4.97,43.0,93,33,4.7
335,Mingguang,CN,1800519,32.78,117.96,52.21,70,77,6.35
336,Vao,NC,2137773,-22.67,167.48,72.68,87,4,9.24
337,Geraldton,AU,2070998,-28.77,114.6,59.0,77,0,1.12
338,Hualmay,PE,3939761,-11.1,-77.61,68.43,67,20,10.92
339,Blagoyevo,RU,576093,63.37,47.92,37.89,91,3,6.31
340,Sola,VU,2134814,-13.88,167.55,81.03,82,100,8.03
341,Sao Filipe,CV,3374210,14.9,-24.5,77.07,81,100,8.25
342,Chernyshevskiy,RU,2025456,63.01,112.47,10.85,97,89,1.74
343,Luancheng,CN,1802204,37.88,114.65,44.6,65,100,4.47
344,Bilma,NE,2446796,18.69,12.92,74.32,20,0,6.49
345,Batemans Bay,AU,2176639,-35.72,150.18,51.01,96,100,5.01
346,Asfi,MA,2537881,32.3,-9.24,66.11,70,100,20.58
347,Te Anau,NZ,2181625,-45.42,167.72,59.88,88,82,3.62
348,Thinadhoo,MV,1337610,0.53,72.93,83.01,69,0,3.71
349,San Patricio,US,4726521,28.02,-97.52,82.4,42,40,13.87
350,Kaohsiung,TW,1673820,22.62,120.31,75.99,69,75,5.82
351,Maxixe,MZ,1039536,-23.86,35.35,77.0,83,40,16.11
352,Thompson,CA,6165406,55.74,-97.86,26.6,100,90,3.36
353,Pandan,PH,1695546,14.05,124.17,78.78,84,100,8.72
354,Kill,IE,2963388,52.18,-7.33,45.0,86,40,3.36
355,Chokwe,MZ,1048364,-24.53,32.98,82.81,56,97,7.94
356,San Cristobal,VE,3628473,7.77,-72.22,87.8,62,40,11.41
357,Maun,BW,933366,-19.98,23.42,78.8,50,0,3.36
358,Olafsvik,IS,3414079,64.89,-23.71,44.33,71,62,30.91
359,Jambi,ID,1642858,-1.6,103.62,73.71,95,91,1.41
360,Riachao Das Neves,BR,3451478,-11.75,-44.91,73.71,91,100,5.08
361,Shenjiamen,CN,1795632,29.96,122.3,61.81,66,77,8.95
362,Pakdasht,IR,32767,35.48,51.68,59.0,28,0,1.48
363,Makakilo City,US,5850554,21.35,-158.09,82.4,74,40,6.93
364,Clyde,US,5150651,41.3,-82.98,71.6,35,1,13.87
365,Tari,NG,2322495,12.41,4.49,85.26,25,0,8.48
366,Chicama,PE,3698359,-7.84,-79.15,66.2,72,2,12.75
367,Varnavino,RU,476982,57.4,45.09,40.68,95,100,6.64
368,Guilin,CN,1809498,25.28,110.29,64.4,82,90,4.05
369,Havre-Saint-Pierre,CA,5972291,50.23,-63.6,28.4,68,1,18.34
370,Esmeraldas,BR,3464008,-19.76,-44.31,80.6,41,40,9.17
371,Iwaki,JP,2112539,37.05,140.88,46.0,76,24,6.85
372,Bayji,IQ,97783,34.93,43.49,77.92,26,100,13.13
373,Numan,NG,2328617,9.47,12.03,87.8,31,83,1.07
374,Eyl,SO,60019,7.98,49.82,78.04,68,81,14.41
375,Kruisfontein,ZA,986717,-34.0,24.73,69.01,80,100,4.0
376,Kollo,NE,2442248,13.3,2.34,89.6,18,13,4.7
